accession,organism,family,lineage
NC_001803.1,Human respiratory syncytial virus A,Pneumoviridae,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Pneumoviridae; Orthopneumovirus; Orthopneumovirus hominis
NC_038235.1,human respiratory syncytial virus,Pneumoviridae,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Pneumoviridae; Orthopneumovirus; Orthopneumovirus hominis
NC_116560.1,Achimota pararubulavirus 3,Paramyxoviridae,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Paramyxoviridae; Rubulavirinae; Pararubulavirus; Pararubulavirus eidoli
NC_116599.1,Tupavirus incomtus,Rhabdoviridae,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Rhabdoviridae; Alpharhabdovirinae; Tupavirus
NC_116857.1,Longquan Berylmys bowersi morbillivirus 1,Paramyxoviridae,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Paramyxoviridae; Orthoparamyxovirinae; Paramorbillivirus; Paramorbillivirus berylmysis
NC_116858.1,Wufeng Niviventer fulvescens morbillivirus 1,Paramyxoviridae,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Paramyxoviridae; Orthoparamyxovirinae; Paramorbillivirus; Paramorbillivirus niviventris
NC_116862.1,Wufeng Rhinolophus sinicus rubulavirus 1,Paramyxoviridae,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Paramyxoviridae; Rubulavirinae; Orthorubulavirus; Orthorubulavirus rhinolophi
NC_116974.1,Strawberry virus 2,Rhabdoviridae,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Rhabdoviridae; Betarhabdovirinae; Alphacytorhabdovirus; Alphacytorhabdovirus betafragariae
NC_116975.1,Strawberry virus 3,Rhabdoviridae,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Rhabdoviridae; Betarhabdovirinae; Deltanucleorhabdovirus; Deltanucleorhabdovirus fragariae
NC_117164.1,Gierle apodemus virus,Paramyxoviridae,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Paramyxoviridae; Orthoparamyxovirinae; Paramorbillivirus; Paramorbillivirus gierlense
NC_117182.1,Alphacytorhabdovirus sambuci,Rhabdoviridae,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Rhabdoviridae; Betarhabdovirinae; Alphacytorhabdovirus
NC_117229.1,Shanxi Arboretum virus,Rhabdoviridae,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Rhabdoviridae; Alpharhabdovirinae; Almendravirus; Almendravirus shanxi
NC_117243.1,Alpharicinrhavirus bancrofti,Rhabdoviridae,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Rhabdoviridae; Alpharhabdovirinae; Alpharicinrhavirus
NC_117252.1,Hyptis latent virus,Rhabdoviridae,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Rhabdoviridae; Betarhabdovirinae; Alphacytorhabdovirus; Alphacytorhabdovirus hyptisis
NC_117253.1,Cereal chlorotic mottle virus,Rhabdoviridae,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Rhabdoviridae; Betarhabdovirinae; Gammanucleorhabdovirus; Gammanucleorhabdovirus cerealis
