base,threshold,bin_index,distance_bin,distance_left,distance_right,observed_n_runs,observed_n_runs_ge_threshold,observed_E,null_mean_E,null_sd_E,null_median_E,null_q025_E,null_q975_E,null_mean_n_runs,empirical_p_upper,empirical_p_lower,z_score,observed_minus_null,observed_over_null
all,5,0,0-25,0.0,25.0,311868,3516,0.011274000538689445,0.005475795082688766,0.0001146845554525385,0.005465802682178086,0.00526392772027495,0.005683683908578869,367223.34,0.009900990099009901,1.0,50.55785788349008,0.005798205456000679,2.0588791889475893
all,5,1,25-50,25.0,50.0,266840,1462,0.005478938689851597,0.005063287580971547,0.00013574555312338135,0.005069039276411548,0.004808358421148921,0.005330656573080278,324050.69,0.009900990099009901,1.0,3.0619869256583114,0.00041565110888004946,1.0820911516940332
all,5,2,50-100,50.0,100.0,434446,2309,0.005314814729563628,0.005109359129005508,9.077334164430714e-05,0.005114436545700615,0.004924157951585606,0.005288627162479047,528697.26,0.0297029702970297,0.9801980198019802,2.263391397038053,0.00020545560055812082,1.040211618594544
all,5,3,100-200,100.0,200.0,604534,2623,0.004338879202823993,0.005175701399601912,8.268925255609855e-05,0.0051676539660797235,0.005032183903172931,0.005339477085709343,712681.44,1.0,0.009900990099009901,-10.120084181559106,-0.0008368221967779187,0.8383171415487217
all,5,4,200-400,200.0,400.0,623959,2956,0.004737490764617547,0.005265814279159423,7.478118155896284e-05,0.0052710078789854915,0.005125187626739035,0.005413505155506379,684498.22,1.0,0.009900990099009901,-7.064926008494635,-0.0005283235145418759,0.8996691705150278
all,5,5,400-800,400.0,800.0,508763,1959,0.003850515859054216,0.005424297688958936,0.00012358879567610405,0.005421954075679478,0.005174497466356804,0.005666338908882754,395727.18,1.0,0.009900990099009901,-12.7340170384799,-0.0015737818299047198,0.7098644063897662
all,5,6,800-1600,800.0,1600.0,309711,1345,0.00434275824881906,0.005464376006342419,0.00024363388943823358,0.0054389403439124035,0.005054931592979598,0.005989780102398643,140457.59,1.0,0.009900990099009901,-4.603701726839248,-0.0011216177575233584,0.7947400112617592
all,5,7,1600+,1600.0,inf,143807,664,0.004617299575124994,0.005411477582255388,0.0003762206063744105,0.005431451186219538,0.0046843796605908474,0.0062186707041294986,50592.28,0.9900990099009901,0.019801980198019802,-2.1109370238482814,-0.0007941780071303939,0.8532419297578615
all,10,0,0-25,0.0,25.0,311868,9,2.8858363153641924e-05,6.9173904295465725e-06,3.939268086400349e-06,5.467143182437532e-06,0.0,1.5066241646040833e-05,367223.34,0.009900990099009901,1.0,5.569809478020249,2.1940972724095353e-05,4.17185692315094
all,10,1,25-50,25.0,50.0,266840,9,3.372807675011243e-05,4.9379554694148845e-06,3.948964383266019e-06,3.0969293959363407e-06,0.0,1.239305327130295e-05,324050.69,0.009900990099009901,1.0,7.29054974582639,2.8790121280697545e-05,6.830372804902792
all,10,2,50-100,50.0,100.0,434446,1,2.301782039655101e-06,6.073000288978476e-06,3.3950324846185193e-06,5.67675545734997e-06,0.0,1.3208881680637627e-05,528697.26,0.8217821782178217,0.18811881188118812,-1.110804761488792,-3.7712182493233748e-06,0.3790189247697662
all,10,3,100-200,100.0,200.0,604534,1,1.654166680451389e-06,6.440235211017417e-06,2.911763655084269e-06,6.976984324981067e-06,1.3969420178330886e-06,1.125710855437667e-05,712681.44,0.9207920792079208,0.0891089108910891,-1.643700896605743,-4.786068530566028e-06,0.25684879919006354
all,10,4,200-400,200.0,400.0,623959,4,6.4106776246516195e-06,8.23359575705978e-06,3.6236631694396968e-06,8.024379243698482e-06,2.9080629400748514e-06,1.4613755738545117e-05,684498.22,0.6633663366336634,0.3465346534653465,-0.5030594862629094,-1.8229181324081598e-06,0.7785999961383671
all,10,5,400-800,400.0,800.0,508763,3,5.8966552206036994e-06,1.2598357686080916e-05,4.567255881545929e-06,1.2581585948676813e-05,5.033801075792257e-06,2.1328860338526867e-05,395727.18,0.9108910891089109,0.09900990099009901,-1.4673367639758381,-6.701702465477216e-06,0.468049516257069
all,10,6,800-1600,800.0,1600.0,309711,0,0.0,2.101137665792e-05,1.1320444077593313e-05,2.0951670327834408e-05,0.0,4.312686626040748e-05,140457.59,1.0,0.0594059405940594,-1.8560558679414407,-2.101137665792e-05,0.0
all,10,7,1600+,1600.0,inf,143807,0,0.0,2.959143894290681e-05,1.9583831659347914e-05,2.563450547321515e-05,0.0,6.60393302489866e-05,50592.28,1.0,0.16831683168316833,-1.511013751427034,-2.959143894290681e-05,0.0
all,15,0,0-25,0.0,25.0,311868,2,6.412969589698206e-06,1.8792291928314073e-06,2.2459013372236676e-06,1.3557079371276886e-06,0.0,5.464931086727513e-06,367223.34,0.0297029702970297,0.9801980198019802,2.018673003005246,4.533740396866798e-06,3.412553196896584
all,15,1,25-50,25.0,50.0,266840,2,7.49512816669165e-06,6.782567877678738e-07,1.356320628729818e-06,0.0,0.0,3.1015703021465953e-06,324050.69,0.009900990099009901,1.0,5.026002874635708,6.816871378923777e-06,11.050575979280547
all,15,2,50-100,50.0,100.0,434446,0,0.0,8.707689472274876e-07,1.32958568594333e-06,0.0,0.0,3.797563315345157e-06,528697.26,1.0,0.6237623762376238,-0.6549175103443479,-8.707689472274876e-07,0.0
all,15,3,100-200,100.0,200.0,604534,0,0.0,1.07964904542901e-06,1.2102495111268358e-06,1.39140694983737e-06,0.0,3.5593321200079303e-06,712681.44,1.0,0.46534653465346537,-0.892087983100091,-1.07964904542901e-06,0.0
all,15,4,200-400,200.0,400.0,623959,2,3.2053388123258098e-06,1.5318138762525376e-06,1.3796892706670492e-06,1.4598454911978025e-06,0.0,4.374808512804675e-06,684498.22,0.0891089108910891,0.9207920792079208,1.2129723493929614,1.6735249360732721e-06,2.092511931127964
all,15,5,400-800,400.0,800.0,508763,0,0.0,3.0056546903927006e-06,2.6476585625649103e-06,2.5318738506090362e-06,0.0,7.685437977891754e-06,395727.18,1.0,0.3069306930693069,-1.1352123468220097,-3.0056546903927006e-06,0.0
all,15,6,800-1600,800.0,1600.0,309711,0,0.0,5.768983999357183e-06,5.513169798497832e-06,7.0061743749958595e-06,0.0,1.5090306930074055e-05,140457.59,1.0,0.40594059405940597,-1.046400566318319,-5.768983999357183e-06,0.0
all,15,7,1600+,1600.0,inf,143807,0,0.0,1.6190245871423277e-05,1.2102535821519245e-05,1.8927908055015428e-05,0.0,4.3116179321541874e-05,50592.28,1.0,0.297029702970297,-1.3377564925390073,-1.6190245871423277e-05,0.0
A,5,0,0-25,0.0,25.0,84106,1719,0.020438494281026325,0.010193149767316396,0.00036369821915387904,0.010206739859928494,0.009434260637284858,0.010961372032433919,89915.21,0.009900990099009901,1.0,28.16990563645067,0.010245344513709929,2.005120570930969
A,5,1,25-50,25.0,50.0,66217,689,0.010405182959058852,0.009378908859090335,0.00035025413541827353,0.009405777271814898,0.008677677041419325,0.010031905058078966,79365.72,0.009900990099009901,1.0,2.9300841765735046,0.0010262740999685167,1.1094236137046816
A,5,2,50-100,50.0,100.0,104513,1028,0.00983609694487767,0.00943454257639228,0.00024169607396420717,0.009453927929803325,0.009009880085549034,0.009860395474293586,129941.68,0.0594059405940594,0.9504950495049505,1.661402115058171,0.0004015543684853899,1.042562144930077
A,5,3,100-200,100.0,200.0,148899,1165,0.00782409552784102,0.00947062265176749,0.0002421064767919044,0.009449769322211539,0.00900902659730099,0.009936176017381029,176315.06,1.0,0.009900990099009901,-6.800838811684061,-0.0016465271239264698,0.8261437305160522
A,5,4,200-400,200.0,400.0,153720,1312,0.008534998698933125,0.009412071925095866,0.00019319209009548334,0.009423464903743968,0.009030881731481808,0.009787677269488109,171917.42,1.0,0.009900990099009901,-4.53990236209596,-0.0008770732261627404,0.9068140115011066
A,5,5,400-800,400.0,800.0,126774,807,0.00636565857352454,0.009346874501410956,0.0003360063013845196,0.009334604006788101,0.008858365136977797,0.010073485964286978,102583.92,1.0,0.009900990099009901,-8.872500056106881,-0.002981215927886416,0.6810467576689526
A,5,6,800-1600,800.0,1600.0,77443,559,0.007218212104386452,0.00899104495728157,0.0006043564632602057,0.008957233640245615,0.008025476072362477,0.010081651852978412,38051.95,0.9801980198019802,0.0297029702970297,-2.9334225091787016,-0.0017728328528951185,0.8028223792319762
A,5,7,1600+,1600.0,inf,40387,322,0.00797286255478248,0.008950390476872426,0.001001771717735456,0.008929264748297206,0.007341333494433704,0.010874244090043422,13968.04,0.8217821782178217,0.18811881188118812,-0.9757990815509212,-0.0009775279220899467,0.8907837680807499
A,10,0,0-25,0.0,25.0,84106,3,3.5669274486956934e-05,9.122292807350191e-06,9.920024009332438e-06,1.10976092336909e-05,0.0,3.3352464703355374e-05,89915.21,0.009900990099009901,1.0,2.676100547199503,2.6546981679606744e-05,3.9101216372069083
