randomisation,base,threshold,bin_index,distance_bin,distance_left,distance_right,n_runs,n_runs_ge_threshold,E
1,all,5,0,0-25,0.0,25.0,367851,2044,0.005556597644154834
1,all,5,1,25-50,25.0,50.0,325222,1652,0.005079607160647189
1,all,5,2,50-100,50.0,100.0,529228,2673,0.00505075317254567
1,all,5,3,100-200,100.0,200.0,714407,3681,0.00515252510123781
1,all,5,4,200-400,200.0,400.0,676393,3488,0.005156765371610883
1,all,5,5,400-800,400.0,800.0,386252,2150,0.005566314219732195
1,all,5,6,800-1600,800.0,1600.0,144434,808,0.005594250661201656
1,all,5,7,1600+,1600.0,inf,60141,338,0.00562012603714604
1,all,10,0,0-25,0.0,25.0,367851,3,8.15547599435641e-06
1,all,10,1,25-50,25.0,50.0,325222,1,3.0748227364692424e-06
1,all,10,2,50-100,50.0,100.0,529228,6,1.1337268625242806e-05
1,all,10,3,100-200,100.0,200.0,714407,7,9.798336242506023e-06
1,all,10,4,200-400,200.0,400.0,676393,0,0.0
1,all,10,5,400-800,400.0,800.0,386252,5,1.2944916790074873e-05
1,all,10,6,800-1600,800.0,1600.0,144434,5,3.461788775496074e-05
1,all,10,7,1600+,1600.0,inf,60141,0,0.0
1,all,15,0,0-25,0.0,25.0,367851,0,0.0
1,all,15,1,25-50,25.0,50.0,325222,0,0.0
1,all,15,2,50-100,50.0,100.0,529228,2,3.7790895417476023e-06
1,all,15,3,100-200,100.0,200.0,714407,0,0.0
1,all,15,4,200-400,200.0,400.0,676393,0,0.0
1,all,15,5,400-800,400.0,800.0,386252,2,5.17796671602995e-06
1,all,15,6,800-1600,800.0,1600.0,144434,2,1.3847155101984297e-05
1,all,15,7,1600+,1600.0,inf,60141,0,0.0
1,A,5,0,0-25,0.0,25.0,89843,929,0.010340260231737586
1,A,5,1,25-50,25.0,50.0,79637,766,0.009618644599871919
1,A,5,2,50-100,50.0,100.0,130032,1197,0.009205426356589148
1,A,5,3,100-200,100.0,200.0,177104,1711,0.009660990152678652
1,A,5,4,200-400,200.0,400.0,170257,1559,0.009156745390791568
1,A,5,5,400-800,400.0,800.0,99974,941,0.009412447236281433
1,A,5,6,800-1600,800.0,1600.0,38861,351,0.009032191657445768
1,A,5,7,1600+,1600.0,inf,16351,147,0.008990275824108617
1,A,10,0,0-25,0.0,25.0,89843,1,1.1130527698318177e-05
1,A,10,1,25-50,25.0,50.0,79637,0,0.0
1,A,10,2,50-100,50.0,100.0,130032,1,7.690414667158853e-06
1,A,10,3,100-200,100.0,200.0,177104,1,5.646399855452164e-06
1,A,10,4,200-400,200.0,400.0,170257,0,0.0
1,A,10,5,400-800,400.0,800.0,99974,2,2.000520135235161e-05
1,A,10,6,800-1600,800.0,1600.0,38861,2,5.146547952960552e-05
1,A,10,7,1600+,1600.0,inf,16351,0,0.0
1,A,15,0,0-25,0.0,25.0,89843,0,0.0
1,A,15,1,25-50,25.0,50.0,79637,0,0.0
1,A,15,2,50-100,50.0,100.0,130032,1,7.690414667158853e-06
1,A,15,3,100-200,100.0,200.0,177104,0,0.0
1,A,15,4,200-400,200.0,400.0,170257,0,0.0
1,A,15,5,400-800,400.0,800.0,99974,2,2.000520135235161e-05
1,A,15,6,800-1600,800.0,1600.0,38861,2,5.146547952960552e-05
1,A,15,7,1600+,1600.0,inf,16351,0,0.0
1,C,5,0,0-25,0.0,25.0,94327,111,0.0011767574501468296
1,C,5,1,25-50,25.0,50.0,83461,97,0.0011622194797570123
1,C,5,2,50-100,50.0,100.0,135186,166,0.0012279378042104952
1,C,5,3,100-200,100.0,200.0,180995,231,0.0012762783502306694
1,C,5,4,200-400,200.0,400.0,169617,271,0.0015977172099494745
1,C,5,5,400-800,400.0,800.0,94221,205,0.002175735770157396
1,C,5,6,800-1600,800.0,1600.0,34065,104,0.003052986936738588
1,C,5,7,1600+,1600.0,inf,14186,48,0.0033836176512054136
1,C,10,0,0-25,0.0,25.0,94327,2,2.1202836939582516e-05
1,C,10,1,25-50,25.0,50.0,83461,1,1.1981644121206313e-05
1,C,10,2,50-100,50.0,100.0,135186,1,7.397215688015031e-06
1,C,10,3,100-200,100.0,200.0,180995,6,3.315008701897843e-05
1,C,10,4,200-400,200.0,400.0,169617,0,0.0
1,C,10,5,400-800,400.0,800.0,94221,2,2.122669044055996e-05
1,C,10,6,800-1600,800.0,1600.0,34065,3,8.806693086745927e-05
1,C,10,7,1600+,1600.0,inf,14186,0,0.0
1,C,15,0,0-25,0.0,25.0,94327,0,0.0
1,C,15,1,25-50,25.0,50.0,83461,0,0.0
1,C,15,2,50-100,50.0,100.0,135186,0,0.0
1,C,15,3,100-200,100.0,200.0,180995,0,0.0
1,C,15,4,200-400,200.0,400.0,169617,0,0.0
1,C,15,5,400-800,400.0,800.0,94221,0,0.0
1,C,15,6,800-1600,800.0,1600.0,34065,0,0.0
1,C,15,7,1600+,1600.0,inf,14186,0,0.0
1,G,5,0,0-25,0.0,25.0,94413,111,0.0011756855517778273
1,G,5,1,25-50,25.0,50.0,83278,89,0.001068709623189798
1,G,5,2,50-100,50.0,100.0,134937,137,0.001015288616169027
1,G,5,3,100-200,100.0,200.0,182191,205,0.0011251927921796356
1,G,5,4,200-400,200.0,400.0,169653,237,0.001396969107531255
1,G,5,5,400-800,400.0,800.0,94866,161,0.0016971306896042839
1,G,5,6,800-1600,800.0,1600.0,34632,100,0.0028875028875028877
1,G,5,7,1600+,1600.0,inf,14076,43,0.0030548451264563797
1,G,10,0,0-25,0.0,25.0,94413,0,0.0
1,G,10,1,25-50,25.0,50.0,83278,0,0.0
1,G,10,2,50-100,50.0,100.0,134937,0,0.0
1,G,10,3,100-200,100.0,200.0,182191,0,0.0
1,G,10,4,200-400,200.0,400.0,169653,0,0.0
1,G,10,5,400-800,400.0,800.0,94866,0,0.0
1,G,10,6,800-1600,800.0,1600.0,34632,0,0.0
1,G,10,7,1600+,1600.0,inf,14076,0,0.0
1,G,15,0,0-25,0.0,25.0,94413,0,0.0
1,G,15,1,25-50,25.0,50.0,83278,0,0.0
1,G,15,2,50-100,50.0,100.0,134937,0,0.0
1,G,15,3,100-200,100.0,200.0,182191,0,0.0
1,G,15,4,200-400,200.0,400.0,169653,0,0.0
1,G,15,5,400-800,400.0,800.0,94866,0,0.0
1,G,15,6,800-1600,800.0,1600.0,34632,0,0.0
1,G,15,7,1600+,1600.0,inf,14076,0,0.0
1,T,5,0,0-25,0.0,25.0,89268,893,0.010003584711206704
1,T,5,1,25-50,25.0,50.0,78846,700,0.008878066103543617
1,T,5,2,50-100,50.0,100.0,129073,1173,0.009087880501731578
1,T,5,3,100-200,100.0,200.0,174117,1534,0.008810167875623862
1,T,5,4,200-400,200.0,400.0,166866,1421,0.00851581508515815
1,T,5,5,400-800,400.0,800.0,97191,843,0.008673642621230361
1,T,5,6,800-1600,800.0,1600.0,36876,253,0.006860830892721553
1,T,5,7,1600+,1600.0,inf,15528,100,0.006439979392065945
1,T,10,0,0-25,0.0,25.0,89268,0,0.0
1,T,10,1,25-50,25.0,50.0,78846,0,0.0
1,T,10,2,50-100,50.0,100.0,129073,4,3.0990214839664376e-05
1,T,10,3,100-200,100.0,200.0,174117,0,0.0
1,T,10,4,200-400,200.0,400.0,166866,0,0.0
1,T,10,5,400-800,400.0,800.0,97191,1,1.0289018530522373e-05
1,T,10,6,800-1600,800.0,1600.0,36876,0,0.0
1,T,10,7,1600+,1600.0,inf,15528,0,0.0
1,T,15,0,0-25,0.0,25.0,89268,0,0.0
1,T,15,1,25-50,25.0,50.0,78846,0,0.0
1,T,15,2,50-100,50.0,100.0,129073,1,7.747553709916094e-06
1,T,15,3,100-200,100.0,200.0,174117,0,0.0
1,T,15,4,200-400,200.0,400.0,166866,0,0.0
1,T,15,5,400-800,400.0,800.0,97191,0,0.0
1,T,15,6,800-1600,800.0,1600.0,36876,0,0.0
1,T,15,7,1600+,1600.0,inf,15528,0,0.0
2,all,5,0,0-25,0.0,25.0,366936,2001,0.005453267054745242
2,all,5,1,25-50,25.0,50.0,323189,1701,0.005263174179814288
2,all,5,2,50-100,50.0,100.0,526450,2733,0.005191376199069237
2,all,5,3,100-200,100.0,200.0,716357,3703,0.005169210323902747
2,all,5,4,200-400,200.0,400.0,685555,3623,0.005284769274529396
2,all,5,5,400-800,400.0,800.0,387809,2074,0.005347993471012793
2,all,5,6,800-1600,800.0,1600.0,143235,727,0.005075575103850316
