accession,organism,matched_term
NC_001803.1,Human respiratory syncytial virus A,mononegavirales
NC_038235.1,human respiratory syncytial virus,mononegavirales
NC_116560.1,Achimota pararubulavirus 3,mononegavirales
NC_116599.1,Tupavirus incomtus,mononegavirales
NC_116857.1,Longquan Berylmys bowersi morbillivirus 1,mononegavirales
NC_116858.1,Wufeng Niviventer fulvescens morbillivirus 1,mononegavirales
NC_116862.1,Wufeng Rhinolophus sinicus rubulavirus 1,mononegavirales
NC_116974.1,Strawberry virus 2,mononegavirales
NC_116975.1,Strawberry virus 3,mononegavirales
NC_117164.1,Gierle apodemus virus,mononegavirales
NC_117182.1,Alphacytorhabdovirus sambuci,mononegavirales
NC_117229.1,Shanxi Arboretum virus,mononegavirales
NC_117243.1,Alpharicinrhavirus bancrofti,mononegavirales
NC_117252.1,Hyptis latent virus,mononegavirales
NC_117253.1,Cereal chlorotic mottle virus,mononegavirales
NC_117269.1,rudbeckia virus 1,mononegavirales
NC_117321.1,Alphacytorhabdovirus alphapogostemi,mononegavirales
NC_117368.1,Tahe rhabdovirus 1,mononegavirales
NC_117394.1,Alphacytorhabdovirus ribes,mononegavirales
NC_117410.1,Daphne virus 1,mononegavirales
NC_131414.1,Boana pugnax lyssa-like virus 1,mononegavirales
NC_139264.1,Kotalahti bat lyssavirus,mononegavirales
NC_139266.1,Hattula rhabdovirus,mononegavirales
NC_139267.1,Inari rhabdovirus,mononegavirales
NC_139361.1,Killamcar virus 1,mononegavirales
NC_139368.1,Tomato alphanucleorhabdovirus 1,mononegavirales
NC_139369.1,Alphanucleorhabdovirus xinjianensis,mononegavirales
NC_139371.1,Tomato betanucleorhabdovirus 1,mononegavirales
NC_139372.1,Tomato betanucleorhabdovirus 2,mononegavirales
NC_139373.1,Betanucleorhabdovirus picridis,mononegavirales
NC_139374.1,Betanucleorhabdovirus taraxi,mononegavirales
NC_139375.1,Soybean blotchy mosaic virus,mononegavirales
NC_139376.1,Pastinaca cytorhabdovirus 1,mononegavirales
NC_139377.1,Taraxacum cytorhabdovirus 1,mononegavirales
NC_139378.1,Cytorhabdovirus sp. 'tiliae',mononegavirales
NC_139379.1,Medicago sativa virus 1,mononegavirales
