accession,length,n_cds,used_fake_genes
NC_001803.1,15191,10,False
NC_025412.1,369360,403,False
NC_038235.1,15222,11,False
NC_100756.1,51562,83,False
NC_100761.1,51678,87,False
NC_103089.1,50346,78,False
NC_103145.1,51775,82,False
NC_103329.1,51895,86,False
NC_104395.1,51784,92,False
NC_104627.1,48826,81,False
NC_104628.1,45558,72,False
NC_104629.1,49636,82,False
NC_104630.1,51554,86,False
NC_104631.1,49684,84,False
NC_104632.1,48933,82,False
NC_104633.1,48935,85,False
NC_105154.1,49568,86,False
NC_105155.1,48841,80,False
NC_105416.1,49111,76,False
NC_105446.1,50247,78,False
NC_105494.1,49054,77,False
NC_105496.1,48988,72,False
NC_105611.1,49674,80,False
NC_105640.1,51637,79,False
NC_105644.1,51939,80,False
NC_105721.1,49534,77,False
NC_105787.1,39008,24,False
NC_105792.1,45195,72,False
NC_105837.1,24744,16,False
NC_106229.1,50665,84,False
NC_106494.1,49249,73,False
NC_106517.1,48715,76,False
NC_106518.1,48957,78,False
NC_107938.1,49878,76,False
NC_107939.1,49577,77,False
NC_107940.1,49322,75,False
NC_107952.1,50039,86,False
NC_107953.1,49144,82,False
NC_109368.1,48780,94,False
NC_109729.1,48933,66,False
NC_110359.1,49631,86,False
NC_111480.1,49111,73,False
NC_115371.1,5808,6,False
NC_115422.1,5686,6,False
NC_115477.1,5792,7,False
NC_115481.1,6766,2,False
NC_115506.1,5705,2,False
NC_115511.1,6090,5,False
NC_115547.1,5925,7,False
NC_115668.1,5559,6,False
NC_115690.1,4367,5,False
NC_115699.1,9289,2,False
NC_115720.1,4492,4,False
NC_115733.1,5855,5,False
NC_115780.1,5008,2,False
NC_115781.1,5045,2,False
NC_115782.1,4947,2,False
NC_115783.1,4706,2,False
NC_115871.1,7871,2,False
NC_115876.1,466767,540,False
NC_115918.1,4606,3,False
NC_115946.1,5699,2,False
NC_116026.1,4463,3,False
NC_116093.1,5162,2,False
NC_116094.1,5209,2,False
NC_116288.1,5171,2,False
NC_116297.1,11929,1,True
NC_116313.1,5869,7,False
NC_116322.1,4866,2,False
NC_116337.1,6168,3,False
NC_116338.1,6074,3,False
NC_116497.1,4595,3,False
NC_116500.1,1694,1,True
NC_116530.1,13313,2,False
NC_116531.1,10787,2,False
NC_116558.1,4675,3,False
NC_116560.1,15600,8,False
NC_116580.1,5587,5,False
NC_116587.1,6015,6,False
NC_116599.1,11468,7,False
NC_116608.1,4622,2,False
NC_116609.1,6141,6,False
NC_116651.1,5824,2,False
NC_116679.1,4643,2,False
NC_116680.1,4714,2,False
NC_116689.1,9548,2,False
NC_116725.1,6677,2,False
NC_116726.1,7478,2,False
NC_116743.1,40551,29,False
NC_116799.1,5881,6,False
NC_116857.1,15040,6,False
NC_116858.1,15145,7,False
NC_116862.1,17273,7,False
NC_116874.1,9651,2,False
NC_116875.1,5226,2,False
NC_116885.1,3158,7,False
NC_116888.1,5654,7,False
NC_116889.1,5744,7,False
NC_116890.1,5704,7,False
NC_116891.1,5639,5,False
NC_116894.1,10164,2,False
NC_116970.1,5896,6,False
NC_116971.1,5854,6,False
NC_116972.1,9912,1,True
NC_116974.1,12956,7,False
NC_116975.1,14433,6,False
NC_117028.1,5912,7,False
NC_117050.1,5757,7,False
NC_117053.1,5781,5,False
NC_117090.1,3308,4,False
NC_117164.1,14994,8,False
NC_117182.1,12622,6,False
NC_117229.1,11480,6,False
NC_117233.1,9604,1,True
NC_117243.1,13109,5,False
NC_117245.1,5822,7,False
NC_117252.1,13765,8,False
NC_117253.1,13800,7,False
NC_117269.1,12502,5,False
NC_117310.1,6217,7,False
NC_117321.1,12913,5,False
NC_117368.1,11349,5,False
NC_117394.1,12863,7,False
NC_117410.1,13206,7,False
NC_117424.1,4595,5,False
NC_117428.1,6090,7,False
NC_117431.1,5595,7,False
NC_117432.1,9619,1,True
NC_129888.1,51632,81,False
NC_129956.1,49552,76,False
NC_129957.1,50675,82,False
NC_130273.1,50559,87,False
NC_130765.1,49044,93,False
NC_131270.1,6119,2,False
NC_131370.1,5561,7,False
NC_131414.1,12482,5,False
NC_138487.1,49373,76,False
NC_138488.1,50107,76,False
NC_139127.1,3424,3,False
NC_139130.1,3792,3,False
NC_139131.1,3676,3,False
NC_139132.1,3779,3,False
NC_139133.1,3774,3,False
NC_139136.1,3781,3,False
NC_139176.1,3723,3,False
NC_139177.1,3747,4,False
NC_139178.1,3739,3,False
NC_139179.1,3749,3,False
NC_139180.1,3695,3,False
NC_139181.1,3763,3,False
NC_139182.1,3772,3,False
NC_139187.1,3657,3,False
NC_139188.1,3720,3,False
NC_139189.1,3789,3,False
NC_139190.1,3738,3,False
NC_139191.1,3796,3,False
NC_139192.1,3779,3,False
NC_139193.1,3683,3,False
NC_139194.1,3823,3,False
NC_139195.1,3756,3,False
NC_139196.1,3753,3,False
NC_139197.1,3720,3,False
NC_139198.1,3843,3,False
NC_139199.1,3750,3,False
NC_139203.1,5069,2,False
NC_139204.1,5177,2,False
NC_139212.1,6206,2,False
NC_139264.1,11879,5,False
NC_139266.1,11971,5,False
NC_139267.1,12040,5,False
NC_139271.1,5523,5,False
NC_139275.1,5809,7,False
NC_139276.1,5668,7,False
NC_139278.1,5770,7,False
NC_139283.1,5625,7,False
NC_139284.1,6122,5,False
NC_139355.1,5756,7,False
NC_139356.1,5722,7,False
NC_139361.1,12008,6,False
NC_139368.1,13405,7,False
NC_139369.1,13358,8,False
NC_139371.1,13426,6,False
NC_139372.1,13423,6,False
NC_139373.1,15193,6,False
NC_139374.1,13736,6,False
NC_139375.1,13425,6,False
NC_139376.1,13072,8,False
NC_139377.1,13718,8,False
NC_139378.1,14152,8,False
NC_139379.1,14041,6,False
NC_139403.1,1687,1,True
NC_139440.1,1692,1,True
NC_139445.1,23379,25,False
NC_139456.1,9728,1,True
NC_139477.1,3089,4,False
NC_139478.1,3172,4,False
