accession,orient,tract_start,tract_end,tract_len,hairpin_mfe,has_hairpin,hairpin_gc,gene_end_proximal,matches_reference,corroborated
NC_001803.1,+,9736,9741,6,-0.5,False,0.26666666666666666,False,,False
NC_001803.1,+,11360,11365,6,-0.699999988079071,False,0.26666666666666666,False,,False
NC_001803.1,+,15053,15058,6,-1.7999999523162842,False,0.03333333333333333,False,,False
NC_001803.1,+,15180,15186,7,-2.0999999046325684,False,0.3,False,,False
NC_001803.1,-,6,11,6,-2.5999999046325684,False,0.36666666666666664,False,,False
NC_001803.1,-,37,43,7,-2.5,False,0.36666666666666664,False,,False
NC_001803.1,-,441,446,6,-1.899999976158142,False,0.3,False,,False
NC_001803.1,-,862,867,6,-1.7999999523162842,False,0.3,False,,False
NC_001803.1,-,1545,1551,7,-3.700000047683716,True,0.4666666666666667,False,,True
NC_001803.1,-,1709,1714,6,-1.7999999523162842,False,0.3333333333333333,False,,False
NC_001803.1,-,2322,2329,8,0.0,False,0.3333333333333333,False,,False
NC_001803.1,-,2453,2458,6,-0.20000000298023224,False,0.3,False,,False
NC_001803.1,-,2883,2888,6,-0.699999988079071,False,0.36666666666666664,False,,False
NC_001803.1,-,3192,3197,6,0.0,False,0.3,False,,False
NC_001803.1,-,3214,3220,7,-2.0,False,0.43333333333333335,False,,False
NC_001803.1,-,3598,3603,6,-1.899999976158142,False,0.26666666666666666,False,,False
NC_001803.1,-,3697,3703,7,-0.6000000238418579,False,0.36666666666666664,False,,False
NC_001803.1,-,5232,5237,6,-3.799999952316284,True,0.5333333333333333,False,,True
NC_001803.1,-,5267,5273,7,-1.399999976158142,False,0.4,False,,False
NC_001803.1,-,5292,5297,6,-0.800000011920929,False,0.4,False,,False
NC_001803.1,-,7553,7558,6,0.0,False,0.4666666666666667,False,,False
NC_001803.1,-,7909,7914,6,-3.9000000953674316,True,0.5,False,,True
NC_001803.1,-,9145,9150,6,-1.100000023841858,False,0.3,False,,False
NC_001803.1,-,10052,10057,6,-2.200000047683716,False,0.3,False,,False
NC_001803.1,-,11290,11295,6,-0.30000001192092896,False,0.16666666666666666,False,,False
NC_001803.1,-,12275,12281,7,-1.899999976158142,False,0.26666666666666666,False,,False
NC_001803.1,-,12314,12319,6,-4.400000095367432,True,0.3,False,,True
NC_001803.1,-,12440,12445,6,-2.700000047683716,False,0.2,False,,False
NC_001803.1,-,14656,14662,7,-1.5,False,0.3,False,,False
NC_001803.1,-,14912,14917,6,-0.5,False,0.3,False,,False
NC_025412.1,+,122,130,9,-2.799999952316284,False,0.4666666666666667,False,False,False
NC_025412.1,+,292,297,6,-0.30000001192092896,False,0.4666666666666667,False,False,False
NC_025412.1,+,1116,1121,6,-2.0999999046325684,False,0.36666666666666664,False,False,False
NC_025412.1,+,1346,1352,7,-6.199999809265137,True,0.5333333333333333,False,False,True
NC_025412.1,+,1956,1961,6,-7.300000190734863,True,0.5666666666666667,False,False,True
NC_025412.1,+,2156,2161,6,-4.900000095367432,True,0.6,False,False,True
NC_025412.1,+,2770,2775,6,-2.5999999046325684,False,0.5333333333333333,False,False,False
NC_025412.1,+,3381,3386,6,-0.8999999761581421,False,0.5,False,False,False
NC_025412.1,+,3777,3782,6,-0.6000000238418579,False,0.26666666666666666,False,False,False
NC_025412.1,+,3860,3865,6,-4.699999809265137,True,0.4666666666666667,False,False,True
NC_025412.1,+,4186,4193,8,-2.5,False,0.36666666666666664,False,False,False
NC_025412.1,+,4598,4604,7,-8.199999809265137,True,0.5,False,False,True
NC_025412.1,+,4965,4970,6,-6.0,True,0.3,False,False,True
NC_025412.1,+,5312,5318,7,-0.5,False,0.3333333333333333,False,False,False
NC_025412.1,+,5344,5349,6,-2.700000047683716,False,0.36666666666666664,False,False,False
NC_025412.1,+,6024,6029,6,-2.5999999046325684,False,0.23333333333333334,False,False,False
