accession,orient,tract_start,tract_end,tract_len,hairpin_mfe,has_hairpin,hairpin_gc,gene_end_proximal,matches_reference,corroborated
NC_001803.1,+,15180,15186,7,-2.0999999046325684,False,0.3,False,,False
NC_001803.1,-,37,43,7,-2.5,False,0.36666666666666664,False,,False
NC_001803.1,-,1545,1551,7,-3.700000047683716,True,0.4666666666666667,False,,True
NC_001803.1,-,2322,2329,8,0.0,False,0.3333333333333333,True,,True
NC_001803.1,-,3214,3220,7,-2.0,False,0.43333333333333335,False,,False
NC_001803.1,-,3697,3703,7,-0.6000000238418579,False,0.36666666666666664,False,,False
NC_001803.1,-,5267,5273,7,-1.399999976158142,False,0.4,False,,False
NC_001803.1,-,12275,12281,7,-1.899999976158142,False,0.26666666666666666,False,,False
NC_001803.1,-,14656,14662,7,-1.5,False,0.3,False,,False
NC_038235.1,+,6076,6082,7,-3.0999999046325684,True,0.3,False,,True
NC_038235.1,+,15211,15217,7,-0.8999999761581421,False,0.26666666666666666,False,,False
NC_038235.1,-,37,43,7,-2.5,False,0.36666666666666664,False,,False
NC_038235.1,-,1545,1551,7,-3.700000047683716,True,0.4666666666666667,False,,True
NC_038235.1,-,3236,3242,7,-0.8999999761581421,False,0.4666666666666667,False,,False
NC_038235.1,-,3725,3731,7,-0.6000000238418579,False,0.36666666666666664,False,,False
NC_038235.1,-,5296,5302,7,-2.9000000953674316,False,0.4666666666666667,False,,False
NC_038235.1,-,6027,6033,7,0.0,False,0.3,False,,False
NC_038235.1,-,12305,12311,7,-1.899999976158142,False,0.3,False,,False
NC_038235.1,-,14686,14692,7,-1.5,False,0.3,False,,False
NC_116560.1,-,4748,4754,7,-5.099999904632568,True,0.5333333333333333,False,,True
NC_116560.1,-,10436,10442,7,-4.900000095367432,True,0.5,False,,True
NC_116599.1,+,5475,5481,7,-5.900000095367432,True,0.7,False,,True
NC_116599.1,-,1338,1344,7,-2.4000000953674316,False,0.4666666666666667,True,,True
NC_116599.1,-,2192,2198,7,-4.099999904632568,True,0.43333333333333335,True,,True
NC_116599.1,-,2823,2829,7,-1.2000000476837158,False,0.4666666666666667,True,,True
NC_116599.1,-,3132,3138,7,-6.400000095367432,True,0.5,True,,True
NC_116599.1,-,4785,4791,7,0.0,False,0.6,True,,True
NC_116599.1,-,5063,5069,7,-6.5,True,0.6,False,,True
NC_116599.1,-,11423,11429,7,-1.7000000476837158,False,0.36666666666666664,True,,True
NC_116857.1,+,9534,9540,7,-1.399999976158142,False,0.4,False,False,False
NC_116862.1,+,15424,15430,7,-1.399999976158142,False,0.26666666666666666,False,,False
NC_116862.1,-,5061,5067,7,-1.5,False,0.26666666666666666,False,,False
NC_116862.1,-,7324,7330,7,0.0,False,0.2,False,,False
NC_116862.1,-,10036,10042,7,-4.199999809265137,True,0.4666666666666667,False,,True
NC_116862.1,-,10290,10296,7,-2.0,False,0.4666666666666667,False,,False
NC_116862.1,-,11148,11154,7,-1.7999999523162842,False,0.4,False,,False
NC_117182.1,-,7274,7280,7,-2.0,False,0.5333333333333333,False,,False
NC_117182.1,-,7737,7743,7,-5.5,True,0.5333333333333333,False,,True
