accession,description,organism,taxonomy,molecule_type,topology,host,country,collection_date,sequence_length,source_length,source_gc_frequency,source_longest_run,n_features,n_feature_intervals,n_boundaries,boundary_window,n_runs,n_boundary_runs,n_nonboundary_runs,fraction_runs_boundary,processing_seconds,boundary_n_runs,boundary_total_bases_in_runs,boundary_mean_run_length,boundary_median_run_length,boundary_max_run_length,boundary_run_length_entropy,boundary_A_n_runs,boundary_A_mean_run_length,boundary_A_max_run_length,boundary_C_n_runs,boundary_C_mean_run_length,boundary_C_max_run_length,boundary_G_n_runs,boundary_G_mean_run_length,boundary_G_max_run_length,boundary_T_n_runs,boundary_T_mean_run_length,boundary_T_max_run_length,boundary_n_runs_ge_5,boundary_fraction_runs_ge_5,boundary_n_runs_ge_10,boundary_fraction_runs_ge_10,boundary_n_runs_ge_15,boundary_fraction_runs_ge_15,boundary_n_runs_ge_20,boundary_fraction_runs_ge_20,boundary_n_runs_ge_30,boundary_fraction_runs_ge_30,nonboundary_n_runs,nonboundary_total_bases_in_runs,nonboundary_mean_run_length,nonboundary_median_run_length,nonboundary_max_run_length,nonboundary_run_length_entropy,nonboundary_A_n_runs,nonboundary_A_mean_run_length,nonboundary_A_max_run_length,nonboundary_C_n_runs,nonboundary_C_mean_run_length,nonboundary_C_max_run_length,nonboundary_G_n_runs,nonboundary_G_mean_run_length,nonboundary_G_max_run_length,nonboundary_T_n_runs,nonboundary_T_mean_run_length,nonboundary_T_max_run_length,nonboundary_n_runs_ge_5,nonboundary_fraction_runs_ge_5,nonboundary_n_runs_ge_10,nonboundary_fraction_runs_ge_10,nonboundary_n_runs_ge_15,nonboundary_fraction_runs_ge_15,nonboundary_n_runs_ge_20,nonboundary_fraction_runs_ge_20,nonboundary_n_runs_ge_30,nonboundary_fraction_runs_ge_30,odds_ratio_boundary_ge_5,odds_ratio_boundary_ge_10,odds_ratio_boundary_ge_15,odds_ratio_boundary_ge_20,odds_ratio_boundary_ge_30,fetch_seconds,total_seconds
NC_139478.1,"Musk shrew hepatitis B virus isolate CIV-304, complete genome",Musk shrew hepatitis B virus,Viruses; Riboviria; Pararnavirae; Artverviricota; Revtraviricetes; Blubervirales; Hepadnaviridae; Orthohepadnavirus; Orthohepadnavirus soriciodoris,DNA,circular,Crocidura olivieri,,2004,3172,3172,,6,5,6,12,250,2184,1975,209,0.9043040293040293,0.011,1975,2871,1.4536708860759493,1.0,6,1.299579853561452,515,1.4330097087378642,6,494,1.408906882591093,5,404,1.504950495049505,6,562,1.4750889679715302,6,22,0.011139240506329114,0,0.0,0,0.0,0,0.0,0,0.0,209,301,1.4401913875598087,1.0,5,1.2721398211774397,51,1.4705882352941178,3,52,1.3269230769230769,5,41,1.5121951219512195,5,65,1.4615384615384615,4,2,0.009569377990430622,0,0.0,0,0.0,0,0.0,0,0.0,0.955976452521116,0.10604910149329284,0.10604910149329284,0.10604910149329284,0.10604910149329284,0.042,0.054
NC_139477.1,"Crowned shrew hepatitis B virus isolate GF2139, complete genome",Crowned shrew hepatitis B virus,Viruses; Riboviria; Pararnavirae; Artverviricota; Revtraviricetes; Blubervirales; Hepadnaviridae; Orthohepadnavirus; Orthohepadnavirus soricicoronati,DNA,circular,Sorex coronatus,,2009,3089,3089,,6,5,6,12,250,2110,1959,151,0.928436018957346,0.01,1959,2879,1.4696273608984176,1.0,6,1.3243851052250435,486,1.4320987654320987,6,507,1.4516765285996056,6,421,1.489311163895487,6,545,1.5045871559633028,6,18,0.009188361408882083,0,0.0,0,0.0,0,0.0,0,0.0,151,210,1.390728476821192,1.0,4,1.1626646270067083,39,1.3333333333333333,3,35,1.3428571428571427,3,35,1.4,4,42,1.4761904761904763,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2.887200618078805,0.0773156417453432,0.0773156417453432,0.0773156417453432,0.0773156417453432,0.001,0.014
NC_117090.1,"Orthohepadnavirus magnimyotis isolate LQB_ZhongShu, complete genome",Orthohepadnavirus magnimyotis,Viruses; Riboviria; Pararnavirae; Artverviricota; Revtraviricetes; Blubervirales; Hepadnaviridae; Orthohepadnavirus,DNA,circular,Myotis chinensis,,2016,3308,3308,,6,5,6,12,250,2326,2105,221,0.9049871023215821,0.011,2105,3005,1.4275534441805227,1.0,6,1.254741813874725,518,1.3764478764478765,6,582,1.422680412371134,5,441,1.5011337868480725,6,564,1.4219858156028369,6,19,0.009026128266033254,0,0.0,0,0.0,0,0.0,0,0.0,221,303,1.3710407239819005,1.0,5,1.151600743888105,53,1.3396226415094339,5,63,1.3968253968253967,4,48,1.375,4,57,1.368421052631579,3,1,0.004524886877828055,0,0.0,0,0.0,0,0.0,0,0.0,1.3738317757009346,0.10520066492519592,0.10520066492519592,0.10520066492519592,0.10520066492519592,0.001,0.014
NC_116885.1,"Orthohepadnavirus bassarisci isolate CO-09/924, complete genome",Orthohepadnavirus bassarisci,Viruses; Riboviria; Pararnavirae; Artverviricota; Revtraviricetes; Blubervirales; Hepadnaviridae; Orthohepadnavirus,DNA,circular,Bassariscus astutus,,22-Nov-2018,3158,3158,,6,8,10,20,250,2210,2056,154,0.930316742081448,0.011,2056,2940,1.4299610894941635,1.0,6,1.25910557830271,501,1.403193612774451,6,579,1.4438687392055267,6,428,1.47196261682243,6,548,1.4069343065693432,6,16,0.007782101167315175,0,0.0,0,0.0,0,0.0,0,0.0,154,218,1.4155844155844155,1.0,6,1.2111856911425938,39,1.4102564102564104,4,39,1.4102564102564104,6,28,1.4642857142857142,4,48,1.3958333333333333,4,1,0.006493506493506494,0,0.0,0,0.0,0,0.0,0,0.0,0.8274932614555256,0.07512764405543398,0.07512764405543398,0.07512764405543398,0.07512764405543398,0.001,0.015
NC_116972.1,"Potyvirus thevetiae isolate Amazonas, complete genome",Potyvirus thevetiae,Viruses; Riboviria; Orthornavirae; Pisuviricota; Stelpaviricetes; Patatavirales; Potyviridae; Potyvirus,RNA,linear,Thevetia ahouai,,01-Sep-2020,9912,9912,,7,2,1,2,250,7183,641,6542,0.08923847974383962,0.035,641,866,1.3510140405616224,1.0,5,1.1098204761285473,192,1.4583333333333333,5,150,1.22,3,135,1.2666666666666666,3,164,1.4146341463414633,4,1,0.0015600624024961,0,0.0,0,0.0,0,0.0,0,0.0,6542,9046,1.382757566493427,1.0,7,1.1753202823047149,2032,1.5388779527559056,7,1351,1.1954108068097706,4,1564,1.2794117647058822,5,1595,1.4438871473354231,5,38,0.005808621216753286,0,0.0,0,0.0,0,0.0,0,0.0,0.3956628851242434,10.1987529228371,10.1987529228371,10.1987529228371,10.1987529228371,0.001,0.04
NC_117432.1,"Polygonatum mosaic-associated virus 1 isolate S21MP21 SR, complete genome",Polygonatum mosaic-associated virus 1,Viruses; Riboviria; Orthornavirae; Pisuviricota; Stelpaviricetes; Patatavirales; Potyviridae; Potyvirus; Potyvirus polygonati,RNA,linear,Polygonatum cyrtonema Hua,,Jul-2021,9619,9618,,6,2,1,2,250,7082,569,6513,0.08034453544196554,0.03,569,791,1.390158172231986,1.0,5,1.1828299495637025,147,1.4625850340136055,4,142,1.232394366197183,5,135,1.3185185185185184,5,145,1.5379310344827586,5,3,0.005272407732864675,0,0.0,0,0.0,0,0.0,0,0.0,6513,8827,1.3552894211576847,1.0,6,1.123568178038215,1823,1.4574876577070763,6,1400,1.1464285714285714,5,1733,1.286208886324293,5,1557,1.5003211303789339,5,25,0.003838476892369108,0,0.0,0,0.0,0,0.0,0,0.0,1.5720713704722842,11.437225636523266,11.437225636523266,11.437225636523266,11.437225636523266,0.001,0.036
NC_139456.1,"Passiflora foetida virus Y isolate SG, complete genome",Passiflora foetida virus Y,Viruses; Riboviria; Orthornavirae; Pisuviricota; Stelpaviricetes; Patatavirales; Potyviridae; Potyvirus; Potyvirus passiflory,RNA,linear,passion fruit,,21-Jun-2020,9728,9728,,47,2,1,2,250,6995,649,6346,0.09278055754110079,0.029,649,922,1.4206471494607087,1.0,6,1.2383102959455847,169,1.5384615384615385,5,141,1.198581560283688,5,164,1.298780487804878,6,175,1.6,5,6,0.009244992295839754,0,0.0,0,0.0,0,0.0,0,0.0,6346,8806,1.3876457611093602,1.0,47,1.1725609397656727,1940,1.5422680412371135,47,1236,1.1537216828478964,4,1606,1.2945205479452055,5,1564,1.4763427109974425,6,30,0.004727387330601954,1,0.0001575795776867318,1,0.0001575795776867318,1,0.0001575795776867318,1,0.0001575795776867318,2.0919026328862396,3.2566076469078777,3.2566076469078777,3.2566076469078777,3.2566076469078777,0.001,0.035
NC_117233.1,"Miscanthus sinensis mosaic virus isolate WA, complete genome",Miscanthus sinensis mosaic virus,Viruses; Riboviria; Orthornavirae; Pisuviricota; Stelpaviricetes; Patatavirales; Potyviridae; Potyvirus; Potyvirus miscanthi,RNA,linear,Miscanthus sinensis,,,9604,9604,,17,15,14,22,250,7082,3527,3555,0.4980231573001977,0.035,3527,4772,1.3529912106606181,1.0,17,1.1131443392715772,1069,1.509822263797942,17,793,1.1815889029003783,4,858,1.2470862470862472,5,807,1.426270136307311,5,16,0.004536433229373405,1,0.0002835270768358378,1,0.0002835270768358378,0,0.0,0,0.0,3555,4832,1.359212376933896,1.0,6,1.1312138449530849,1095,1.4940639269406393,6,762,1.18503937007874,4,834,1.2374100719424461,4,864,1.4594907407407407,5,12,0.0033755274261603376,0,0.0,0,0.0,0,0.0,0,0.0,1.3320290474156344,3.024670353041259,3.024670353041259,1.0079376328844791,1.0079376328844791,0.001,0.042
NC_105787.1,"Falcon aviadenovirus A isolate CDVUM_2557971, complete genome",Falcon aviadenovirus A,Viruses; Varidnaviria; Bamfordvirae; Preplasmiviricota; Polisuviricotina; Pharingeaviricetes; Rowavirales; Adenoviridae; Aviadenovirus; Aviadenovirus falconis,DNA,linear,Falco sparverius,,20-Jan-2022,39008,39008,,7,25,24,48,250,29050,11076,17974,0.3812736660929432,0.132,11076,14931,1.3480498374864571,1.0,7,1.110123267740876,2900,1.4110344827586208,7,2741,1.2677854797519155,5,2515,1.2731610337972168,5,2920,1.4253424657534246,7,50,0.00451426507764536,0,0.0,0,0.0,0,0.0,0,0.0,17974,24077,1.33954601090464,1.0,6,1.0935395809201756,4827,1.447482908638906,6,4274,1.2475432849789425,6,3964,1.2555499495459133,5,4909,1.3813403951925036,6,66,0.0036719706242350062,0,0.0,0,0.0,0,0.0,0,0.0,1.233363984031634,1.6227598970794024,1.6227598970794024,1.6227598970794024,1.6227598970794024,0.002,0.153
NC_116743.1,"Aviadenovirus bubonis DNA, complete genome",Aviadenovirus bubonis,Viruses; Varidnaviria; Bamfordvirae; Preplasmiviricota; Polisuviricotina; Pharingeaviricetes; Rowavirales; Adenoviridae; Aviadenovirus,DNA,linear,Bubo bengalensis,,2020,40551,40551,,9,58,57,114,250,30363,13835,16528,0.45565326219411784,0.152,13835,18609,1.3450668594145283,1.0,8,1.1034106113993798,3503,1.3873822437910364,8,3541,1.329850324767015,6,3422,1.2843366452367038,6,3369,1.3787474027901454,6,92,0.006649801228767618,0,0.0,0,0.0,0,0.0,0,0.0,16528,21942,1.327565343659245,1.0,9,1.0693282828866129,4178,1.3669219722355195,6,4312,1.3109925788497216,5,4013,1.2855718913531025,5,4025,1.3463354037267081,9,86,0.005203291384317522,0,0.0,0,0.0,0,0.0,0,0.0,1.279369900768645,1.1946442123522822,1.1946442123522822,1.1946442123522822,1.1946442123522822,0.003,0.183
